# chipmunk, between 04/2009 and 10/2009
#
#
# Using GF2   (gf2x, bug corrected, full pre-modcomp, 10/2009)
# p=2, d=101
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
199	5.82911	5.83011	1.11383	3.59445	0.58891	5.43817	405	0.02410	0.03592
211	5.83311	5.83611	1.11683	3.59345	0.58491	5.42818	209	0.02602	0.03591
223	5.82011	5.82911	1.11383	3.58745	0.58491	5.44817	187	0.02727	0.03607
227	5.82412	5.82211	1.11583	3.58546	0.58291	5.52016	416	0.02781	0.03588
233	5.81312	5.81312	1.11483	3.58745	0.58591	5.42517	330	0.02860	0.03597
239	5.81312	5.82311	1.11183	3.57846	0.58991	5.43417	178	0.02917	0.03596
241	5.81912	5.82911	1.11083	3.58046	0.58891	5.42318	359	0.02946	0.03805
251	5.81912	5.81412	1.11383	3.58745	0.58691	5.43417	512	0.03053	0.03584	# Isogeny not found.
257	15.0907	14.9277	5.78812	8.07377	1.79773	32.2761	295	0.03291	0.14347
263	14.9337	14.9347	2.48962	8.08477	1.79473	32.796	680	0.03691	0.14349
271	14.9557	14.9587	2.49662	8.10277	1.78173	32.669	473	0.04005	0.14336
281	14.9867	14.9617	2.49262	8.09577	1.79973	32.3941	896	0.04368	0.14344
283	14.9457	14.9337	2.49162	8.10177	1.79973	32.952	1024	0.04425	0.14333	# Isogeny not found.
307	14.9677	14.9677	2.49162	8.09977	1.79273	32.745	44	0.05137	0.14342
311	14.9607	14.9587	2.49262	8.09177	1.79573	32.624	70	0.05244	0.14361
313	14.9787	14.9737	2.49762	8.08777	1.80173	32.5511	23	0.05277	0.14347
317	14.9697	14.9767	2.49162	8.10677	1.78173	32.5231	995	0.05300	0.14354
331	14.9747	14.9767	2.49162	8.08977	1.79973	32.835	615	0.05763	0.14472
337	14.9707	14.9777	2.49562	8.09577	1.79873	32.5371	293	0.05921	0.14345
347	14.9817	14.9617	2.49562	8.09277	1.80073	32.3311	731	0.06108	0.14364
349	14.9357	14.9467	2.49662	8.09477	1.78873	32.5111	359	0.06125	0.14343
353	14.9467	14.9537	2.48462	8.09077	1.80273	32.5101	270	0.06221	0.14346
359	14.9417	14.9347	2.49062	8.09477	1.79873	32.3541	146	0.06330	0.14337
367	14.9497	14.9357	2.49962	8.08177	1.79573	32.4311	287	0.06448	0.14345
379	14.9517	14.9337	2.49362	8.09277	1.80373	32.768	465	0.06617	0.14337
397	14.9497	14.9587	2.49262	8.08077	1.78273	32.4021	102	0.07259	0.14331


# Using zz_p  (bug corrected, full pre-modcomp, 10/2009)
# p=2, d=101
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
3	0.24296	0.19697	0.06698	0.08198	0.31995	0.02499	5	0.00399	0.00174
5	0.54791	0.52592	0.16897	0.23396	0.69189	0.12098	5	0.00939	0.00599
7	0.52692	0.52691	0.06099	0.23396	0.68989	0.12098	11	0.01708	0.00579
11	1.40579	1.35579	0.42793	0.64190	1.43078	0.52292	12	0.03849	0.02217
13	1.35779	1.35679	0.15497	0.63890	1.40479	0.51792	14	0.05206	0.02245
17	3.52846	3.41348	1.06984	1.67974	2.93355	2.19667	27	0.08502	0.08775
19	3.41248	3.41248	0.38894	1.66975	2.92855	2.19567	56	0.10414	0.08758
23	3.41548	3.41348	0.38694	1.65775	2.86557	2.16467	25	0.12054	0.08786
29	3.41548	3.41048	0.38594	1.65975	2.86756	2.16667	51	0.16901	0.08870
31	3.41248	3.41048	0.38494	1.66175	2.86656	2.17167	59	0.18729	0.08812
37	8.73167	8.47471	2.6246	4.13337	6.00209	9.1866	128	0.258	0.35503	# Isogeny not found.
41	8.47671	8.46271	0.92986	4.10438	6.00009	9.1796	31	0.27328	0.35394
43	8.46871	8.47871	0.92885	4.10138	6.00409	9.1866	96	0.29392	0.35560
47	8.46671	8.46771	0.93285	4.11138	6.00109	9.1846	85	0.33065	0.35394
53	8.46471	8.46871	0.92985	4.10238	5.99809	9.1856	1	0.42193	0.35394
59	8.46971	8.46571	0.92985	4.11237	6.01209	9.1846	115	0.44031	0.35400
61	8.47471	8.46471	0.93085	4.10938	6.00909	9.1896	128	0.46031	0.35711	# Isogeny not found.
67	21.4487	20.7928	6.37603	9.93449	12.4091	39.0811	190	0.55558	1.41896
71	20.7958	20.7998	2.19667	9.92349	12.3911	39.0991	106	0.61344	1.41839
73	20.7918	20.7998	2.20167	9.93949	12.4751	39.1011	246	0.63617	1.41161
79	20.7968	20.8338	2.20866	9.93249	12.4491	39.0601	256	0.70713	1.4128	# Isogeny not found.
89	20.7918	20.7878	2.20067	9.93949	12.4581	39.0791	120	0.78922	1.41379
101	20.7998	20.8068	2.20266	9.93549	12.4561	39.0531	256	0.90489	1.40975	# Isogeny not found.
103	20.7968	20.8088	2.20266	9.96249	12.4661	39.0941	56	0.92548	1.4136
107	20.8118	20.7918	2.20266	9.93149	12.4651	39.1191	83	0.96737	1.41514
113	20.8578	20.8228	2.20467	9.94549	12.4591	39.0611	90	1.02885	1.41326
127	20.8078	20.8038	2.20666	9.93949	12.3981	39.0731	149	1.18079	1.41424
131	52.2181	50.8253	15.4177	23.7064	27.0829	172.753	413	1.25361	5.63439
137	50.7963	50.8213	5.16422	23.6804	27.1019	172.975	182	1.4327	5.63608
139	50.8653	50.8593	5.15922	23.7334	27.1989	173.175	6	1.48661	5.66354
149	50.8273	50.8343	5.17821	23.7244	27.0799	172.975	512	1.58857	5.6259	# Isogeny not found.
151	50.8133	50.8513	5.15422	23.7014	26.9589	172.636	495	1.61237	5.62914
157	50.8513	50.7683	5.15522	23.6854	26.9529	173.487	379	1.69553	5.63377
163	50.7493	50.7913	5.15822	23.6864	27.0539	172.805	104	1.74806	5.63071
173	50.8173	50.8293	5.16422	23.7514	27.1029	173.099	59	1.88841	5.67214
193	50.7993	50.8113	5.15422	23.6604	26.9839	172.821	274	2.10865	5.63364
197	50.7983	50.7813	5.15322	23.7454	27.0979	173.438	97	2.15526	5.63555
199	50.8353	50.8383	5.16021	23.6794	27.0949	173.321	405	2.17248	5.6834
211	50.8013	50.8193	5.16322	23.6614	26.8799	173.656	209	2.3059	5.6344
223	50.8593	50.8273	5.17121	23.8684	27.2319	173.687	187	2.44083	5.67985
227	50.8193	50.8563	5.17821	23.7194	27.1049	173.775	416	2.49011	5.63658
233	50.8403	50.9153	5.15322	23.7244	27.1299	174.392	330	2.56209	5.6313
239	50.8373	50.8013	5.18121	23.8394	27.4198	175.05	178	2.63059	5.65979
241	50.7863	50.8003	5.17921	23.7784	27.3498	175.301	359	2.6546	5.63269
251	50.7823	50.8203	5.18621	23.8514	27.3868	175.136	512	2.77596	5.63848	# Isogeny not found.
257	127.724	124.449	37.6903	57.1823	64.9701	836.489	295	2.85381	22.5556
263	124.472	124.493	12.2401	57.0113	65.2921	828.595	680	3.11877	22.609
271	124.388	124.413	12.2391	57.0223	64.7732	825.025	473	3.40942	22.5147
281	124.452	124.275	12.2481	57.0003	64.7012	821.107	896	3.59114	22.5556
283	124.246	124.359	12.2861	56.9713	64.6682	830.226	1024	3.61759	22.5904	# Isogeny not found.
307	124.358	124.384	12.2301	57.0083	64.4302	829.409	44	3.95324	22.5012
311	124.35	124.341	12.2421	56.9623	64.7951	830.746	70	4.01192	22.7581
313	124.394	124.458	12.2481	56.9263	64.5242	830.991	23	4.06143	22.5914
317	124.374	124.418	12.2451	57.0183	64.8251	831.39	995	4.09925	22.5433
331	124.475	124.44	12.1981	56.7194	63.5703	819.143	615	4.36072	22.5041
337	124.379	124.221	12.2011	56.7194	63.7143	823.42	293	4.43681	22.8384
347	124.272	124.418	12.1941	56.6974	63.7643	821.959	731	4.57985	22.5381
349	124.273	124.328	12.2011	56.8084	64.0873	823.908	359	4.60005	22.5596
353	124.412	124.362	12.2031	56.7714	63.4454	823.96	270	4.65299	22.5712
359	124.313	124.382	12.2551	57.0973	64.2682	825.551	146	4.73857	22.5602
367	124.334	124.36	12.2351	56.9723	64.0733	826.203	287	4.83722	22.7367
379	124.54	124.389	12.2331	57.0093	64.4762	826.69	465	4.97809	22.5459
397	124.366	124.361	12.2171	56.7924	64.5452	824.512	102	5.19172	22.5334


# magma 2.11.2   (bug corrected, full pre-modcomp, 10/2009)
#       *[p^k]  Tree    ModExp  Interp  Tries   GCD     ModComp
#
3	0.18	0.009	0	0.031	2	0	0
5	0.82	0.089	0.01	0.23	7	0	0.00166
7	0.85	0.1	0.011	0.23	15	0	0.00207
11	4.369	0.791	0.039	1.811	14	0.00285	0.01
13	4.38	0.78	0.039	1.821	18	0.00333	0.00941
17	28.171	6.509	0.14	14.79	18	0.01122	0.04223
19	28.08	6.509	0.131	14.759	33	0.01269	0.04287
23	28.16	6.47	0.141	14.75	44	0.01727	0.04369
29	28.29	6.419	0.141	14.759	63	0.02630	0.04246
31	28.101	6.499	0.13	14.761	8	0.029	0.04257
37	230.25	53.351	0.429	121.62	129	0.07481	0.19960	# Isogeny not found
41	230.309	53.441	0.429	121.871	37	0.08862	0.19833
43	230.881	53.49	0.43	122.239	100	0.0956	0.19808
47	230.871	53.47	0.419	121.941	29	0.11103	0.19714
53	231.149	53.571	0.429	122.201	125	0.13390	0.19880
59	234.11	53.73	0.431	122.72	64	0.16175	0.19995
61	243.911	53.85	0.44	123.259	129	0.17072	0.20208	# Isogeny not found
67	1808.29	447.051	1.37	1024.01	183	0.39170	0.87916
71	2009.74	480.151	1.4	1131.75	181	0.47265	0.92966
73	2015.97	471.99	1.451	1083.21	124	0.47479	0.90557
79	1919.09	462.36	1.419	1060.41	257	0.53491	0.90140	# Isogeny not found
83	1661.96	466.82	1.441	1071.22	257	0.58349	0.90382	# Isogeny not found
89	1992.37	470.07	1.37	1079.09	132	0.65190	0.90524
97	1604.12	467.381	1.4	1032.94	257	0.73277	0.89346	# Isogeny not found
101	1877.21	457.351	1.399	1048.85	257	0.78896	0.89849	# Isogeny not found
103	1919.16	462.699	1.371	1059.47	131	0.82006	0.89762
107	1949.07	466.209	1.441	1068.57	174	0.87700	0.89873
109	1653.23	465.109	1.37	1066.86	257	0.90252	0.90159	# Isogeny not found
113	1967.69	468.39	1.389	1073.29	225	0.96304	0.90300
127	1988.47	469.841	1.409	1079.37	190	1.17431	0.90471


# zz_p  (full pre-modcomp, 05/2009)
# p=3, d=64
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
5	0.64890	0.61190	0.21596	0.47092	0.76488	0.03099	18	0.00666	0.04899
7	0.61190	0.61190	0.12398	0.46992	0.76388	0.04599	22	0.01063	0.03266
11	0.61090	0.61090	0.12398	0.46692	0.76288	0.07798	20	0.01944	0.02499
13	2.52362	2.39163	0.84787	2.09868	2.75058	0.35094	9	0.05354	0.25908
17	2.39863	2.39564	0.51592	2.10968	2.74858	0.46792	31	0.07369	0.19900
19	2.39564	2.39464	0.51292	2.10368	2.78758	0.52692	73	0.08487	0.19883
23	2.39464	2.39163	0.51292	2.10768	2.75058	0.64290	72	0.10824	0.16890
29	2.39564	2.39464	0.51492	2.10768	2.78558	0.81887	30	0.14424	0.13925
31	2.39264	2.39464	0.51192	2.10268	2.75358	0.87786	49	0.15669	0.13872
37	2.39463	2.39164	0.51292	2.10668	2.75158	1.05084	23	0.19888	0.13816
41	10.2824	9.80151	3.67044	8.5137	6.94594	2.94855	25	0.51292	1.10737
43	9.79351	9.79351	2.06969	8.5417	6.93595	3.09853	169	0.54256	1.1007
47	9.79151	9.78951	2.07468	8.5557	6.94094	3.39248	120	0.60294	1.09719
59	9.81251	9.80551	2.07868	8.5717	6.97994	4.28935	216	0.78341	1.01977
67	9.79051	9.79651	2.07668	8.59169	6.93694	4.87026	108	0.91413	0.95087
71	9.79951	9.80151	2.07169	8.5707	6.94394	5.16222	170	0.98600	0.94599
73	9.80751	9.79251	2.07268	8.5647	6.93095	5.30619	42	1.02151	0.94588
79	9.79451	9.79851	2.07169	8.5337	6.93295	5.75213	71	1.13273	0.94914
83	9.79951	9.81351	2.07468	8.5447	6.92895	6.04008	155	1.20462	0.86866
89	9.79851	9.79851	2.07668	8.5467	6.93495	6.48401	231	1.31587	0.86772
97	9.79651	9.79451	2.07268	8.5467	6.93395	7.07593	127	1.46686	0.87082
101	9.79251	9.79351	2.07269	8.5527	6.94894	7.37188	183	1.53944	0.86639
103	9.79951	9.80851	2.07668	8.5417	6.96094	7.52086	129	1.57693	0.86861
107	9.80351	9.79351	2.07269	8.5277	6.93894	7.82281	240	1.65312	0.86589
109	9.79151	9.78951	2.07868	8.5567	6.93795	7.95779	92	1.69581	0.87181
113	9.80451	9.80551	2.07468	8.5377	6.95294	8.26574	20	1.77123	0.86902
127	40.8578	38.5331	14.4128	34.4298	27.6158	39.232	106	4.75977	7.99649
149	38.5281	38.5021	8.36873	34.7277	27.9008	46.3909	110	5.76936	7.71215
163	38.5711	38.5461	8.35773	34.6377	27.7208	50.7783	117	6.4301	7.71582
181	38.1182	38.1232	8.22575	34.0208	26.9199	54.4707	548	7.25763	7.63461
191	38.1602	38.0952	8.19076	34.0668	27.0309	57.5822	513	7.73526	7.33266
193	38.3392	38.1102	8.20475	33.9978	27.3408	59.366	422	7.93058	7.34448
197	38.4522	38.5021	8.42172	34.6417	27.6768	60.7218	150	8.13542	7.3394
199	38.5841	38.5601	8.49871	35.0097	27.9817	62.4905	49	8.25032	7.42131
227	38.0772	38.0822	8.17276	33.9468	26.8959	68.1936	240	9.48862	7.30338
233	38.3392	38.3072	8.32773	34.4248	27.3148	71.3222	470	9.81092	7.31491
239	38.2932	38.3082	8.34573	34.4678	27.2539	73.0369	281	10.1211	7.32018
251	38.5531	38.5581	8.44272	34.4738	27.3238	77.1003	680	10.7832	7.07981
257	38.2942	38.3312	8.35173	34.5178	27.3078	78.843	159	11.1042	6.98476
263	38.3832	38.3292	8.31973	34.4428	27.3418	80.7777	589	11.462	7.00534
269	38.3092	38.2902	8.30774	34.4438	27.3838	82.6214	54	11.8719	7.05849
271	38.3422	38.3152	8.33373	34.4378	27.3588	83.2243	355	11.9413	7.01417
277	38.3862	38.3662	8.33273	34.5318	27.3358	85.0541	340	12.3131	6.98788
283	38.2792	38.3052	8.34773	34.5947	27.4228	86.9048	206	12.6821	7.0129
293	38.5021	38.3172	8.34073	34.4278	27.3478	90.1053	706	13.281	7.01103
313	38.3692	38.3692	8.35473	34.6817	27.3638	96.3853	620	14.5979	7.02596
331	38.3512	38.3702	8.36073	34.6957	27.5118	102.034	34	15.7663	7.0386
337	38.3532	38.3622	8.44072	34.6867	27.5158	103.72	513	16.079	6.99975
347	38.3552	38.3382	8.37973	34.5258	27.4788	106.822	409	16.6666	6.99059
349	38.1282	38.3032	8.39872	34.3788	26.9369	105.277	679	16.8898	7.09576
359	38.3292	38.3972	8.41372	34.7147	27.5748	110.538	120	17.5004	7.00883
367	171.133	162.102	62.4835	149.094	199.162	865.187	654	43.2921	69.9515
379	159.35	159.248	35.3656	147.352	199.731	908.575	740	43.7162	69.5152
383	158.997	159.27	35.5196	147.275	199.148	913.583	1882	44.2768	69.7157
389	159.828	159.569	36.0145	147.741	201.979	939.485	2001	45.1558	69.9133


# Using GF2     (bug corrected, full pre-modcomp, 10/2009)
# p=2, d=1023
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
3	0.27095	0.19297	0.10198	0.21096	0.09598	0.001	4	0.0005	0
5	0.64390	0.62990	0.31795	0.53591	0.39693	0.00699	8	0.00087	0.00028
7	0.62890	0.63090	0.17597	0.53891	0.39594	0.00799	14	0.00107	0.00046
11	1.9717	1.9367	0.88086	1.3188	0.74388	0.03899	4	0.00199	0.00166
13	1.93871	1.93471	0.42993	1.3308	0.74388	0.03899	17	0.00276	0.00162
17	5.84511	5.75113	2.40463	3.17252	2.21566	0.23896	13	0.00423	0.00641
19	5.75013	5.74813	1.01285	3.18352	2.21666	0.23896	21	0.00504	0.00644
23	5.75313	5.75412	1.01185	3.17052	2.21666	0.23896	28	0.00685	0.00644
29	5.75013	5.74813	1.00785	3.17752	2.21666	0.23896	1	0.01099	0.00644
31	5.75013	5.75213	1.01085	3.17652	2.21566	0.23896	13	0.01130	0.00633
37	16.5095	16.2965	6.24205	7.49886	6.609	1.44678	128	0.01509	0.02580	# Isogeny not found.
41	16.2955	16.3135	2.35764	7.49586	6.607	1.44578	62	0.01806	0.02570
43	16.3295	16.3175	2.35364	7.49586	6.612	1.44578	128	0.01929	0.02587	# Isogeny not found.
47	16.2975	16.3105	2.35364	7.47986	6.61999	1.44578	84	0.02183	0.02563
53	16.3025	16.3135	2.35664	7.48686	6.62499	1.44578	63	0.02613	0.02580
59	16.3245	16.3295	2.36264	7.48886	6.606	1.44578	117	0.03014	0.02564
61	16.3255	16.3075	2.35364	7.49686	6.6	1.44678	5	0.03199	0.02599
67	45.967	45.5501	16.3235	17.4953	19.772	8.71168	104	0.03946	0.10408
71	45.5471	45.5511	5.45517	17.5163	19.763	8.70768	256	0.04406	0.10428
73	45.5321	45.5291	5.44417	17.5033	19.777	8.70868	256	0.04647	0.10416	# Isogeny not found.
79	45.5321	45.5451	5.43817	17.5273	19.74	8.70568	46	0.05288	0.10431
83	45.5401	45.5381	5.45717	17.5333	19.743	8.71267	105	0.05743	0.10421
89	45.5381	45.4711	5.43717	17.4853	19.777	8.70668	63	0.06314	0.10419
101	45.4921	45.4901	5.44917	17.5343	19.768	8.72267	46	0.07496	0.10407
103	45.5191	45.5131	5.43517	17.4933	19.76	8.70868	82	0.07639	0.10409
107	45.5011	45.5151	5.43217	17.5043	19.761	8.70668	256	0.07998	0.10421	# Isogeny not found.
109	45.5061	45.5521	5.45017	17.5303	19.756	8.71268	256	0.08184	0.10416	# Isogeny not found.
113	45.5211	45.4661	5.43017	17.4703	19.763	8.71268	183	0.08528	0.10457
127	45.5311	45.4711	5.44417	17.5253	19.795	8.70968	217	0.09793	0.10444
131	121.133	120.127	39.715	40.5138	59.03	52.2411	355	0.11124	0.41759
137	120.115	120.035	12.3461	40.5078	58.971	52.2471	504	0.12546	0.41659
139	120.012	120.068	12.3511	40.3399	58.967	52.2711	227	0.12935	0.41574
149	120.26	120.05	12.3181	40.3689	58.979	52.2861	446	0.14826	0.41626
151	120.113	120.184	12.3831	40.4808	58.911	52.2591	40	0.15175	0.41655
157	120.127	120.203	12.3521	40.4888	59.002	52.296	498	0.15978	0.41817
163	120.285	120.267	12.3601	40.3869	58.934	52.2351	512	0.17058	0.41623	# Isogeny not found.
167	120.249	120.172	12.3711	40.4439	58.913	52.2771	393	0.17703	0.41580
173	120.102	120.119	12.3651	40.4239	58.956	52.2731	285	0.1858	0.41607
179	120.143	120.106	12.4271	40.5058	59.031	52.2791	233	0.19333	0.41637
181	120.178	119.985	12.3871	40.3909	59.097	52.2641	395	0.19573	0.41603
191	120.058	119.999	12.3581	40.3399	58.921	52.2601	512	0.20561	0.41580	# Isogeny not found.
193	119.95	119.916	12.3811	40.4099	58.973	52.2621	95	0.21026	0.41599
197	119.888	119.933	12.3851	40.5168	58.969	52.2811	411	0.21779	0.41630
199	119.935	119.903	12.3751	40.3939	59.017	52.2641	313	0.22042	0.41578
211	120.041	119.91	12.3441	40.3889	58.977	52.2781	244	0.23705	0.41915
223	120.046	119.984	12.3561	40.3579	58.996	52.2521	346	0.24932	0.41582
229	120.01	120.046	12.3671	40.4838	58.935	52.2611	264	0.25784	0.41768
233	120.011	120.006	12.3601	40.4738	58.93	52.2421	490	0.26216	0.41638
239	120.084	120.006	12.3451	40.3559	58.972	52.2251	512	0.26707	0.41579	# Isogeny not found.
241	120.034	120.259	12.3581	40.4798	58.981	52.2491	484	0.27064	0.41601
251	120.214	120.123	12.3761	40.4878	58.99	52.2651	389	0.28073	0.41578
257	299.696	297.135	91.0902	92.6809	176.841	313.735	510	0.30080	1.66628
269	297.367	297.287	27.9338	92.6989	176.668	313.655	44	0.36303	1.66642
271	297.264	297.065	27.8308	92.5429	176.451	313.775	1020	0.36617	1.66457
277	297.209	297.659	27.8948	92.5699	176.364	314.114	612	0.39028	1.66679
281	297.087	297.142	27.8828	92.6189	176.504	313.44	491	0.40126	1.67786
283	297.426	296.857	27.8668	92.7629	176.414	313.637	24	0.40952	1.66527
293	297.372	296.881	27.7818	92.4359	176.515	313.836	273	0.43751	1.66878
307	297.788	297.49	27.8218	92.5949	176.584	313.913	308	0.47118	1.66649
311	296.679	296.818	27.8358	92.6949	176.609	313.699	1024	0.47815	1.66441	# Isogeny not found.
313	297.064	297.159	27.8108	92.369	176.462	313.82	308	0.48320	1.66824
317	296.979	297.249	27.7688	92.3	176.313	313.622	841	0.49023	1.66982
337	297.029	297.062	27.7498	92.348	176.712	314.189	1024	0.54546	1.66887	# Isogeny not found.
347	297.181	297.439	27.7938	92.186	176.403	313.422	518	0.56398	1.66492
349	296.791	296.954	27.8708	92.31	176.418	313.788	391	0.56736	1.66555
359	296.629	297.013	27.7848	92.315	176.701	313.695	663	0.58642	1.6686
367	296.788	297.151	27.7298	92.37	176.462	314.012	212	0.59765	1.67133
373	296.723	297.133	27.7648	92.407	176.436	313.655	123	0.60839	1.66771
379	297.042	297.162	27.8048	92.4819	176.527	313.764	388	0.61580	1.67626
383	297.13	297.224	27.8098	92.407	176.362	313.811	563	0.61835	1.66938
389	296.657	296.953	27.8228	92.4569	176.332	313.821	1024	0.64194	1.66423	# Isogeny not found.
397	297.148	296.865	27.8178	92.379	176.522	313.824	790	0.66330	1.66674


# zz_p   (full pre-modcomp, 04/2009)
# p=3, d=650
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
5	42.3316	36.1325	8.98163	5.32819	127.242	0.49592	8	0.15460	0.86572
7	36.2225	36.1665	1.37279	5.32619	127.72	0.74288	16	0.23565	0.61424
11	36.1755	36.1975	1.37279	5.32519	127.517	1.23881	11	0.40439	0.48742
13	157.064	154.313	39.67	25.7481	390.212	4.53231	29	1.12817	4.37505
17	154.526	154.315	6.49101	25.7391	390.415	6.05108	43	1.52544	3.62552
19	154.629	154.663	6.49501	25.7271	390.394	6.79097	63	1.72072	3.61414
23	154.104	154.214	6.47802	25.7061	388.453	8.27874	22	2.11463	3.24265
29	154.026	154.594	6.47602	25.6891	389.214	10.5454	45	2.74656	2.86616
31	154.227	154.278	6.48302	25.6811	389.49	11.2913	28	2.96162	2.86194
41	496.734	485.582	112.936	115.75	2469.97	101.948	65	10.5251	31.9011
43	486.145	486.214	28.8216	115.807	2471.42	107.235	87	11.0673	31.9016
59	485.509	485.484	28.8196	115.746	2472.07	148.171	217	15.602	29.344
61	485.373	485.927	28.8226	115.776	2474.04	153.406	18	16.1849	26.791
67	485.678	485.747	28.8366	115.672	2475.54	168.963	27	17.9786	26.8219
71	486.521	486.858	28.8766	115.929	2478.09	179.945	74	19.1606	26.8166
73	486.423	486.426	28.8496	116.041	2474.47	184.277	66	19.7436	26.8343
79	486.931	486.726	28.8716	116.166	2476.67	199.796	28	21.504	26.8085
83	485.985	487.128	28.8116	115.996	2477.49	210.091	190	22.669	24.2416
89	484.68	485.26	28.7956	115.756	2474.13	225.321	66	24.4	24.4153
